Status,Localidade,People,Usuário,Tipo de acesso,Operadora,Número (Designação),Valor Fidelizado,Centro de custo,Velocidade,Data Ativação,Data Desativação,vd,Obs. Acesso
ATIVO,LOJA,453,VD453 - DSP SHOPPING VENTURA MALL,VPN IP MPLS,VIVO,111353252332290,374.01,2004530000,10 MBPS,,,,
ATIVO,Não informado,453,VD453 - DSP SHOPPING VENTURA MALL,DADOS,VIVO,3252332290,,2004530000,,,,,
ATIVO,LOJA,453,VD453 - DSP SHOPPING VENTURA MALL,INN,EMBRATEL,CAS_IP_30188,278.99,2004530000,4 MB,,,,2004530000
ATIVO,LOJA,452,VD452 - DSP SANTO ANDRE III,DADOS,VIVO,116330159972690,,2004520000,0 MB,,,,
ATIVO,Não informado,452,VD452 - DSP SANTO ANDRE III,MONITORA DADOS,VIVO,116330196263094,20,2004520000,,,,,
CANCELADO,LOJA,452,VD452 - DSP SANTO ANDRE III,DADOS,VIVO,116334990021097,,2004520000,,,,,
ATIVO,LOJA,452,VD452 - DSP SANTO ANDRE III,VPN IP MPLS,VIVO,116334990309490,380,2004520000,10 MBPS,,,,
ATIVO,LOJA,452,VD452 - DSP SANTO ANDRE III,INN,EMBRATEL,SNE_IP_03530,277.64,2004520000,4 MB,,,,2004520000
ATIVO,LOJA,450,VD450 - DSP AFONSO SCHMIDT,DADOS,VIVO,110000160810890,,2004500000,0 MB,,,,
ATIVO,Não informado,450,VD450 - DSP AFONSO SCHMIDT,MONITORA DADOS,VIVO,110000195045994,20,2004500000,,,,,
ATIVO,LOJA,450,VD450 - DSP AFONSO SCHMIDT,VPN IP MPLS,VIVO,110002976187099,380,2004500000,10 MBPS,,,,
ATIVO,LOJA,450,VD450 - DSP AFONSO SCHMIDT,INN,EMBRATEL,SPO_IP_87363,278.99,2004500000,4 MB,,,,2004500000
ATIVO,LOJA,447,VD447 - DSP SHOPPING WEST PLAZA II,DADOS,VIVO,110000160840497,,2004470000,0 MB,,,,
ATIVO,Não informado,447,VD447 - DSP SHOPPING WEST PLAZA II,MONITORA DADOS,VIVO,110000195211692,20,2004470000,,,,,
ATIVO,LOJA,447,VD447 - DSP SHOPPING WEST PLAZA II,VPN IP MPLS,VIVO,110003673540297,380,2004470000,10 MBPS,,,,
ATIVO,LOJA,447,VD447 - DSP SHOPPING WEST PLAZA II,INN,EMBRATEL,SPO_IP_87077,278.99,2004470000,4 MB,,,,2004470000
ATIVO,LOJA,445,VD445 - DSP SAO VICENTE II,DADOS,VIVO,115770160646195,,2004450000,0 MB,,,,
ATIVO,Não informado,445,VD445 - DSP SAO VICENTE II,MONITORA DADOS,VIVO,115770196038798,20,2004450000,,,,,
ATIVO,LOJA,445,VD445 - DSP SAO VICENTE II,VPN IP MPLS,VIVO,115773468032792,380,2004450000,10 MBPS,,,,
ATIVO,Não informado,445,VD445 - DSP SAO VICENTE II,DADOS,VIVO,3468032792,,2004450000,,,,,
ATIVO,LOJA,445,VD445 - DSP SAO VICENTE II,INN,EMBRATEL,SVE_IP_01822,277.64,2004450000,4 MB,,,,2004450000
ATIVO,LOJA,444,VD444 - DSP SHOPPING CENTER MOGI,DADOS,VIVO,113810160589491,,2004440000,0 MB,,,,
ATIVO,Não informado,444,VD444 - DSP SHOPPING CENTER MOGI,MONITORA DADOS,VIVO,113810194958594,20,2004440000,,,,,
ATIVO,LOJA,444,VD444 - DSP SHOPPING CENTER MOGI,VPN IP MPLS,VIVO,113814726104090,380,2004440000,10 MBPS,,,,
ATIVO,Não informado,444,VD444 - DSP SHOPPING CENTER MOGI,DADOS,VIVO,4726104090,,2004440000,,,,,
ATIVO,LOJA,444,VD444 - DSP SHOPPING CENTER MOGI,INN,EMBRATEL,MCZ_IP_01424,278.99,2004440000,4 MB,,,,2004440000
ATIVO,LOJA,443,VD443 - DSP SHOPPING TATUAPE II,DADOS,VIVO,110000149587096,,2009000401,,,,,
ATIVO,LOJA,443,VD443 - DSP SHOPPING TATUAPE II,DADOS,VIVO,110000151095092,,2009000401,,,,,
CANCELADO,LOJA,443,VD443 - DSP SHOPPING TATUAPE II,MONITORA DADOS,VIVO,110000160985995,,2009000401,0 MB,,9/27/2023,,E-mail 06/02/2024 Luciana Avanti
CANCELADO,LOJA,443,VD443 - DSP SHOPPING TATUAPE II,DADOS,VIVO,110002295396290,,2009000401,10 MB,,9/27/2023,,E-mail 06/02/2024 Luciana Avanti
ATIVO,LOJA,443,VD443 - DSP SHOPPING TATUAPE II,DADOS,EMBRATEL,SPO_IP_84103,,2009000401,4 MB,,,,DADOS
ATIVO,LOJA,441,VD441 - DSP SHOPPING PAULISTA,DADOS,VIVO,110000142035397,,2004410000,0 MB,,,,
ATIVO,Não informado,441,VD441 - DSP SHOPPING PAULISTA,DADOS,VIVO,110000179233897,50.11,2004410000,,,,,
ATIVO,Não informado,441,VD441 - DSP SHOPPING PAULISTA,MONITORA DADOS,VIVO,110000201880390,12.67,2004410000,,,,,
ATIVO,LOJA,441,VD441 - DSP SHOPPING PAULISTA,DADOS,VIVO,110003284529195,,2004410000,10 MB,,,,
ATIVO,Não informado,441,VD441 - DSP SHOPPING PAULISTA,VPN IP MPLS,VIVO,110003284625291,401.56,2004410000,10 MBPS,,,,
ATIVO,LOJA,441,VD441 - DSP SHOPPING PAULISTA,INN,EMBRATEL,SPO_IP_82679,297.06,2004410000,4 MB,,,,DADOS
CANCELADO,LOJA,440,VD440 - DSP SHOPPING JUNDIAI,MONITORA DADOS,VIVO,113260160585296,,2009000401,0 MB,,11/9/2023,,E-mail 06/02/2024 Luciana Avanti
CANCELADO,LOJA,440,VD440 - DSP SHOPPING JUNDIAI,DADOS,VIVO,113264521398898,,2009000401,10 MB,,9/27/2023,,E-mail 06/02/2024 Luciana Avanti
ATIVO,LOJA,439,VD439 - DSP SOCRATES II,DADOS,VIVO,110000160841897,44.17,2004390000,0 MB,,,,
ATIVO,Não informado,439,VD439 - DSP SOCRATES II,MONITORA DADOS,VIVO,110000201952597,12.34,2004390000,,,,,
ATIVO,LOJA,439,VD439 - DSP SOCRATES II,VPN IP MPLS,VIVO,110005686330390,364.65,2004390000,10 MBPS,,,,
ATIVO,LOJA,439,VD439 - DSP SOCRATES II,INN,EMBRATEL,SPO_IP_83412,258.58,2004390000,4 MB,,,,DADOS
ATIVO,LOJA,437,VD437 - DSP CAPAO REDONDO IV,DADOS,VIVO,110000119837592,,2004370000,0 MB,,,,
ATIVO,LOJA,437,VD437 - DSP CAPAO REDONDO IV,DADOS,VIVO,110000153507790,,2004370000,,,,,
ATIVO,Não informado,437,VD437 - DSP CAPAO REDONDO IV,MONITORA DADOS,VIVO,110000195196999,20,2004370000,,,,,
ATIVO,LOJA,437,VD437 - DSP CAPAO REDONDO IV,VPN IP MPLS,VIVO,110005511055691,380,2004370000,10 MBPS,,,,
ATIVO,LOJA,437,VD437 - DSP CAPAO REDONDO IV,DADOS,VIVO,110005511070097,,2004370000,10 MB,,,,
ATIVO,Não informado,437,VD437 - DSP CAPAO REDONDO IV,DADOS,VIVO,5511055691,,2004370000,,,,,
ATIVO,LOJA,437,VD437 - DSP CAPAO REDONDO IV,INN,EMBRATEL,SPO_IP_87936,470.04,2004370000,4 MB,,,,2004370000
ATIVO,LOJA,436,VD436 - DSP SHOPPING CENTER VALE,DADOS,VIVO,115630160812296,,2004360000,0 MB,,,,
ATIVO,Não informado,436,VD436 - DSP SHOPPING CENTER VALE,MONITORA DADOS,VIVO,115630195253093,20,2004360000,,,,,
ATIVO,LOJA,436,VD436 - DSP SHOPPING CENTER VALE,VPN IP MPLS,VIVO,115633922283192,380,2004360000,10 MBPS,,,,
ATIVO,Não informado,436,VD436 - DSP SHOPPING CENTER VALE,DADOS,VIVO,3922283192,,2004360000,,,,,
ATIVO,LOJA,436,VD436 - DSP SHOPPING CENTER VALE,INN,EMBRATEL,SJC_IP_02761,297.06,2004360000,4 MB,,,,DADOS
ATIVO,LOJA,435,VD435 - DSP SHOPPING SALVADOR,DADOS,VIVO,710000160202690,306.74,2004350000,10 MB,,,,
ATIVO,LOJA,435,VD435 - DSP SHOPPING SALVADOR,DADOS,VIVO,710000160236894,43.34,2004350000,0 MB,,,,
ATIVO,Não informado,435,VD435 - DSP SHOPPING SALVADOR,VPN IP MPLS,VIVO,710000201872290,240.67,2004350000,10 MBPS,,,,
ATIVO,Não informado,435,VD435 - DSP SHOPPING SALVADOR,MONITORA DADOS,VIVO,710000201883990,12.67,2004350000,,,,,
ATIVO,LOJA,435,VD435 - DSP SHOPPING SALVADOR,INN,EMBRATEL,SDR_IP_29783,470.73,2004350000,4 MB,,,,2004350000
ATIVO,LOJA,434,VD434 - DSP ALTO DO ITAIGARA,DADOS,VIVO,710000160079390,289.04,2004340000,10 MB,,,,
ATIVO,LOJA,434,VD434 - DSP ALTO DO ITAIGARA,DADOS,VIVO,710000160101599,43.34,2004340000,0 MB,,,,
ATIVO,Não informado,434,VD434 - DSP ALTO DO ITAIGARA,VPN IP MPLS,VIVO,710000201859995,259.67,2004340000,10 MBPS,,,,
ATIVO,Não informado,434,VD434 - DSP ALTO DO ITAIGARA,MONITORA DADOS,VIVO,710000201877296,12.67,2004340000,,,,,
ATIVO,LOJA,434,VD434 - DSP ALTO DO ITAIGARA,INN,EMBRATEL,SDR_IP_32155,409.02,2004340000,4 MB,,,,2004340000
